تعداد افراد خانوار,کل,یک نفر,دو نفر,سه نفر,چهار نفر,پنج نفر,شش نفر,هفت نفر,هشت نفر,نه نفر,ده نفر و بیشتر
1381,100,4.2,10.6,17.3,24.5,17.9,11.8,7,3.5,1.7,1.5
1382,100,4.4,12,17.8,22.8,18.5,11.6,6.8,3.2,1.4,1.5
1383,100,4.6,12.2,20.6,26.1,17.2,9.8,5,2.5,1.1,0.9
1384,100,4.5,12.3,20.8,26.7,17.8,9.3,4.7,2.2,1,0.7
1385,100,5,12,21.6,27.1,16.9,9.3,4.2,2.2,1,0.7
1386,100,5,12.7,21.9,28.6,16.8,8.4,3.7,1.6,0.8,0.5
1387,100,5.3,13.8,22.8,28.4,16.1,7.8,3.2,1.6,0.6,0.4
1388,100,5.8,15.2,23.7,27.8,15.4,6.9,3,1.3,0.5,0.4
1389,100,6.6,14.3,24.3,28.8,15.3,6.4,2.6,1,0.4,0.3
1390,100,5.7,17.5,27.8,28.2,12.8,4.8,2,0.6,0.3,0.3
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
جدول شماره ۱۶ درصد توزیع افراد شش ساله و بیشتر خانوارها به تفکیک جنسیت بر حسب میزان سواد,,,,,,,,,,,
