سال,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390
مجموع درآمد پولی و غیرپولی ناخالص,271,146,207,195,166,248,17,95,104,222
درآمد پولی ناخالص,266,137,227,219,137,192,156,117,128,232
1- درآمد از مزد و حقوق بخش دولتی و عمومی,26,07,297,233,108,111,8,5,109,75
2- درآمد از مزد و حقوق بخش خصوصی,266,226,24,228,149,264,204,98,157,24
3- درآمد از مزد و حقوق بخش تعاونی,"","","","","","","","","",""
4- درآمد از مشاغل آزاد کشاورزی,"",125,669,"",46,202,"","",331,108
5- درآمد از مشاغل آزاد غیرکشاورزی,241,158,20,262,88,20,96,19,116,88
6- درآمدهای متفرقه,373,259,132,181,299,222,333,364,139,488
7- درآمد حاصل از فروش کالاهای دست دوم,376,7,217,19,-69,139,172,74,29,141
درآمد غیرپولی,286,172,15,123,261,411,203,43,43,194
1- ارزش اجاری مسکن شخصی (مالکنشین),30,175,125,116,267,425,187,53,25,142
2- سایر,231,159,249,148,239,359,264,06,112,371
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
جدول شماره ۱۶ درصد توزیع افراد شش ساله و بیشتر خانوارها به تفکیک جنسیت بر حسب میزان سواد,,,,,,,,,,
