گروه های هزینه,1389,1390
خوراکیها، آشامیدنیها و دخانیات,35732070,43825072
خوراکیها و آشامیدنیها,35213301,43266836
1- آرد، رشته و غلات,3548418,4144324
آرد و رشته,285095,334095
غلات و فرآورده های آن,3263323,3810229
2- انواع نان و بیسکویت,2135401,3781545
انواع نان,1476932,2915456
بیسکویت ، کیک و شیرینی خشک,658469,866089
3- انواع گوشت,9587986,10840412
گوشت دام,5431996,6318937
گوشت پرندگان,2914119,3161912
فرآورده های گوشت دام و پرندگان,168453,202596
انواع ماهی,844433,867149
حیوانات دریایی و فرآوردههای آن,228985,289818
4- شیر و فرآوردههای آن و تخم پرندگان,3525093,4858907
جدول شماره ۱۶ درصد توزیع افراد شش ساله و بیشتر خانوارها به تفکیک جنسیت بر حسب میزان سواد,1052282,1295842
فرآوردههای شیر,1754848,2458526
تخم پرندگان,717963,1104539
5- روغنها و چربیها,1161106,1489318
روغنها و چربیهای حیوانی,66445,62363
انواع کره,262479,361334
روغنهای حیوانی,832182,1065621
6- میوههای تازه,6518110,7369342
میوههای درختی (بجز مرکبات),3491139,4047329
مرکبات,1959466,2129955
میوههای جالیزی,1067505,1192058
7- سبزیهای تازه,3550444,4113060
انواع سبزی های برگی (تازه و یخ زده),798182,984267
انواع سبزی های بوته ای (تازه و یخ زده),1678354,2094474
انواع سبزی های ریشه ای (تازه و یخ زده),1073908,1034319
8- خشکبار و آجیل,844902,1112385
9- حبوب,410522,544330
10- انواع کنسرو و فرآوردههای سبزی,593822,755187
11- قند و شکر,465856,543739
12- انواع شیرینی و مربا (به جز شیرینی خشک),1008469,1427981
13- چای ، قهوه و کاکایو,451750,493582
14- انواع ادویه ، سسها و سایر ترکیبات خوراکی,454357,522030
15- آشامیدنیها,957065,1270694
دخانیات,518769,558236
