تعداد افراد خانوار,کل,یک نفر,دو نفر,سه نفر,چهار نفر,پنج نفر,شش نفر,هفت نفر,هشت نفر,نه نفر,ده نفر و بیشتر
1393,100,64,182,276,301,115,38,14,06,02,02
1394,100,69,191,281,29,114,37,12,04,01,01
1395,100,67,201,286,294,109,28,09,03,02,01
1396,100,76,205,285,289,105,27,09,02,01,01
1397,100,8,22,278,281,101,25,1,03,01,01
1398,100,79,22,277,283,102,27,08,02,01,01
1399,100,84,224,282,278,95,24,08,03,01,01
1400,100,82,23,277,272,101,26,07,03,01,01
1401,100,66,223,284,287,101,24,09,03,02,01
1402,100,61,229,283,282,101,28,1,03,02,01
