گروه های هزینه,1379,1380
خوراکی ها ، آشامیدنی ها و دخانیات,9048315,10067005
1- آرد ، رشته و غلات,996293,1042110
آرد و رشته,105749,120177
غلات,890544,921933
2- انواع نان و بیسکویت,555621,631543
انواع نان,328627,363816
بیسکویت ،کیک ،شیرینی خشک و تر,226994,267727
3- انواع گوشت,2280772,2571310
گوشت دام,1364399,1497019
گوشت پرندگان,715770,846066
گوشت حیوانات دریایی,200603,228225
4- شیر و فرآورده های آن و تخم پرندگان,1026284,1188126
انواع شیر,231561,265180
فرآورده های شیر,590904,676727
تخم پرندگان,203819,246219
5- روغن ها و چربی ها,286534,303096
روغن ها و چربی های حیوانی,22017,25304
انواع کره,56782,59563
روغن های نباتی,207735,218229
6- میوه های تازه,1155501,1359120
میوه های درختی بجز مرکبات,588038,696297
مرکبات,340446,398356
میوه های جالیزی,227017,264467
7- سبزی های تازه,934783,966371
انواع سبزی های برگی,200408,224007
انواع سبزی های بوته ای,444637,507533
انواع سبزی های ریشه ای,289738,234831
8- خشکبار و آجیل,141411,153937
9- حبوب,219184,190534
10- انواع کمپوت میوه و کنسرو سبزی,182857,215570
11- قند و شکر,129921,141189
12- انواع شیرینی و مربا )بجز شیرینی خشک و تر (,218461,247081
13- چای ، قهوه و کاکایو,205973,215936
14- انواع ادویه ، سس ها و سایر ترکیبات خوراکی,113979,117811
15- انواع نوشابه و غذاهای آماده,408778,508060
نوشابه های خریداری شده برای مصرف در خانه,144920,167181
غذاهای آماده خریداری شده برای مصرف درخانهو غذاهای آماده مصرف شده در خارج ازخانه,246186,318531
نوشابه های مصرف شده در خارج از خانه,17672,22348
16- دخانیات,191963,215211
