سال,1397,1398
غیرخوراک,387644976,499307969
1- پوشاک و کفش,18310984,19755871
پوشاک,14557995,15463041
انواع کفش و تعمیرات آن,3752989,4292830
2- مسکن، آب، برق، گاز و سایر سوخت ها,195661622,267870302
اجارهبها و ارزش اجاری مسکن,185115070,255963105
تعمیرات و خدمات مسکن,1026695,1276672
آب و خدمات متفرقه مسکن,3241332,3635653
برق، گاز و سایر سوختها,6278525,6994872
3- لوازم، اثاث و خدمات مورد استفاده در خانه,19990691,25312337
مبلمان، اثاث، فرش و انواع کفپوش,5396933,6410618
منسوجات مورد استفاده در خانه,983200,1044583
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,5311165,6594341
ظروف، لوازم آشپزخانه و سایر لوازم خانه,2356648,2419044
ابزار و وسایل برای خانه و باغچه,789559,998894
کالاها و لوازم مصرفی بی دوام و کم دوام خانه,5153186,7844857
4- بهداشت و درمان,28441834,33217591
دارو، لوازم و مواد طبی و درمانی,9003263,11278222
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,19438571,21939369
5- حمل و نقل,47220084,59529216
خرید وسایل نقلیه شخصی,21894374,26744000
تعمیرات و سوخت وسایل نقلیه شخصی,15699948,21304408
هزینه های رفت و آمد و حمل و نقل کالا,9625762,11480808
6- ارتباطات,9604154,12013004
7- تفریح و امور فرهنگی,8886199,10120877
8- تحصیل,7912616,8549445
9- رستوران و هتل,10404270,13114612
غذاها و خوراکیهای آماده و آشامیدنیها,9982112,12763086
هزینه هتل و مسافرخانه (بدون تور),422158,351526
10- کالاها و خدمات متفرقه,41212522,49824714
لوازم بهداشتی و آرایشی و خدمات شخصی,11651993,14163500
لوازم شخصی و زینتی و هزینه های متفرقه شخصی,4467646,6303330
خدمات اجتماعی,281050,355295
انواع بیمه,12195470,15244755
خدمات مالی,7583503,8832927
سایر کالاها و خدمات متفرقه,5032860,4924907
