سال,1393,1394
غیرخوراک,246793712,268256258
1- پوشاک و کفش,15243479,15896767
پوشاک,12004527,12531860
انواع کفش و تعمیرات آن,3238952,3364907
2- مسکن، آب، برق، گاز و سایر سوخت ها,109901731,123496095
اجارهبها و ارزش اجاری مسکن,102546409,115151455
تعمیرات و خدمات مسکن,797714,765652
آب و خدمات متفرقه مسکن,1842985,1988411
برق، گاز و سایر سوختها,4714623,5590577
3- لوازم، اثاث و خدمات مورد استفاده در خانه,13600145,14536075
مبلمان، اثاث، فرش و انواع کفپوش,4028664,4215241
منسوجات مورد استفاده در خانه,1036574,1192451
وسایل برقی، پختوپز، حرارتی و وسایلعمده مورد استفاده در خانه,3361909,3426352
ظروف، لوازم آشپزخانه و سایر لوازم خانه,1927154,2291802
ابزار و وسایل برای خانه و باغچه,550618,565178
کالاها و لوازم مصرفی بی دوام و کم دوام خانه,2695226,2845051
4- بهداشت و درمان,19031440,20549488
دارو، لوازم و مواد طبی و درمانی,5472371,5928277
خدمات پزشکی، دندانپزشکی و پیراپزشکی و هزینههای بیمارستانی,13559069,14621211
5- حمل و نقل,34043401,36033635
خرید وسایل نقلیه شخصی,16928764,16643391
تعمیرات و سوخت وسایل نقلیه شخصی,10755423,12501159
هزینه های رفت و آمد و حمل و نقل کالا,6359214,6889085
6- ارتباطات,7029783,7488611
7- تفریح و امور فرهنگی,7727099,6940038
8- تحصیل,6169927,6524080
9- رستوران و هتل,6552626,7401990
غذاها و خوراکیهای آماده و آشامیدنیها,6274279,7115621
هزینه هتل و مسافرخانه (بدون تور),278347,286369
10- کالاها و خدمات متفرقه,27494081,29389479
لوازم بهداشتی و آرایشی و خدمات شخصی,6312939,6745360
لوازم شخصی و زینتی و هزینه های متفرقه شخصی,4077573,3926273
خدمات اجتماعی,161968,197069
انواع بیمه,7099465,8006164
خدمات مالی,5278748,6209372
سایر کالاها و خدمات متفرقه,4563388,4305241
